,Learning Rate,Epoch,Train Loss,Val mIoU certain,Test mIoU certain,Val mIoU combined,Test mIoU combined
0,0.0001,0,1.3359999656677246,0.2337181329955604,0.23429113973852267,0.23375182839402253,0.23430333959235441
1,0.0001,1,0.12485083192586899,0.49979977230123573,0.4998603221774573,0.49975602907058897,0.49984515409045976
2,0.0001,2,0.004009185824543238,0.4997997737247988,0.4998603221774573,0.4997560304941512,0.49984515409045976
3,0.0001,4,0.002584487898275256,0.5002586415568369,0.5005549439964007,0.5001793741639222,0.5004857189846059
4,0.0001,5,0.001982208341360092,0.50424243940606,0.50592648292864,0.5037033309260622,0.5054955793056856
5,0.0001,6,0.0015588531969115138,0.5234109280116261,0.5372344025356676,0.5212351500800676,0.5351464792499522
6,0.0001,7,0.0013810195960104465,0.5305396906944023,0.5494854536325814,0.5277489563978984,0.5468857770301311
7,0.0001,8,0.001297264127060771,0.5380244968722453,0.5548942986317649,0.5340948978851372,0.5519763238373212
8,0.0001,10,0.001128547708503902,0.5791595941448247,0.6042309354800659,0.5729666937084463,0.6001078617044919
9,0.0001,13,0.0009538803133182228,0.6021164725998129,0.6301759454635056,0.5938998730055439,0.6251242073870473
10,0.0001,15,0.0008927803137339652,0.6275495050788585,0.6753931070156872,0.629362039507784,0.6751207322639441
11,0.0001,18,0.0008385963155888021,0.6467783957138171,0.6903827208963305,0.6415119740829524,0.6860690792089967
12,0.0001,19,0.000808357261121273,0.6588083095631957,0.6981156146245817,0.6536972615129931,0.6945685663650931
13,0.0001,24,0.0007184028509072959,0.6672147677565935,0.7085658460033754,0.6665541798330907,0.7076364260200254
14,0.0001,26,0.0007201518747024238,0.6730467918235863,0.7132657831712813,0.6691667163169269,0.71027809699966
15,0.0001,27,0.0007291374495252967,0.6817102215795541,0.720353296162702,0.6777757182899303,0.7181666710717802
16,0.0001,36,0.0006295203929767013,0.6932950780768172,0.732980623258914,0.6952265168968741,0.7330976671311789
17,0.0001,40,0.00061232183361426,0.6939027006721941,0.7369790834188794,0.6960860891258775,0.7350277384324659
18,0.0002,0,1.0744999647140503,0.2744146441891537,0.27413630506851927,0.27444358984427586,0.27414635069095417
19,0.0002,1,0.05784228444099426,0.4997997737247988,0.4998603221774573,0.4997560304941512,0.49984515409045976
20,0.0002,2,0.003067749086767435,0.4998139520515824,0.4998857694617722,0.4997734973116772,0.49986810646236185
21,0.0002,3,0.0022762450389564037,0.5003237681292084,0.5005925652511724,0.5002241287447728,0.500524219380486
22,0.0002,4,0.0016322326846420765,0.5206799130039284,0.5284180738604226,0.5185130091049439,0.5269437766062377
23,0.0002,5,0.0013533057644963264,0.5486795032412414,0.5619465779316724,0.544844604985866,0.559412056293314
24,0.0002,7,0.0010809211526066065,0.576883241649922,0.6023339367180355,0.5709756893524156,0.5985821659303441
25,0.0002,8,0.000993862166069448,0.6215970060574766,0.6559223638904392,0.6159041058418706,0.6526027150859685
26,0.0002,9,0.0009469185024499893,0.6317739312350533,0.6570881368034287,0.626698823831627,0.6547392458665298
27,0.0002,12,0.0008506965823471546,0.6502699028139487,0.6833522078259409,0.6446996616563345,0.6792083427363927
28,0.0002,13,0.0008220138261094689,0.6506073878446716,0.69071516528903,0.6475357860777263,0.6893634583305943
29,0.0002,15,0.0007717552362009883,0.6639440635028948,0.7015738628262447,0.6637264602680634,0.7017373655937149
30,0.0002,18,0.000712953566107899,0.6848308828304918,0.723929555747396,0.6824580190201129,0.7218079820643586
31,0.0002,20,0.0006949501112103462,0.689101753223717,0.7296067748749745,0.6879691381268682,0.7271904166091939
32,0.0002,29,0.0006089467788115144,0.6913267935304548,0.7328179660847973,0.6921856027879449,0.7287338901737277
33,0.0002,31,0.0006023788591846824,0.7067440102636072,0.7485737919838853,0.7079224734235959,0.7449874347040051
34,0.0002,35,0.0005739440675824881,0.708163985955693,0.7544547567684053,0.7088003654985845,0.7506432519169336
35,0.0002,41,0.0005194187397137284,0.7084834328015681,0.7529449541372499,0.710387579954217,0.7506713395452147
36,0.0002,42,0.0005119438283145428,0.7131119776706413,0.7570459403946418,0.7134292364460715,0.7533818719052237
37,0.0002,44,0.0005140400025993586,0.7157642808103175,0.7586504444828526,0.7144864184215118,0.7547065975350085
38,0.0002,45,0.0005138797569088638,0.715110273619797,0.7556474045358783,0.7173509870589891,0.7539935025213225
