,Learning Rate,Lambda Value,Epoch,Train Loss,Val mIoU,Test mIoU
0,1e-05,0.2,0,1.3659062385559082,0.2966823271145195,0.29255387024621393
1,1e-05,0.2,1,0.9078124761581421,0.4520746444687974,0.45773734325171095
2,1e-05,0.2,2,0.44624999165534973,0.6119871502232836,0.5957942649451081
3,1e-05,0.2,3,0.31736329197883606,0.6647899746406288,0.638453813494132
4,1e-05,0.2,4,0.2775000035762787,0.6776458381103627,0.6762362752855509
5,1e-05,0.2,5,0.25678905844688416,0.6981689501682483,0.6863049346810336
6,1e-05,0.2,6,0.2523125112056732,0.7261481405159971,0.7452587406616119
7,1e-05,0.2,7,0.242249995470047,0.7270450652930471,0.7436888549457528
8,1e-05,0.2,9,0.23420313000679016,0.7383234496158062,0.7535760211761451
9,1e-05,0.2,13,0.2234531193971634,0.7437574821464344,0.7812616953888547
10,1e-05,0.2,14,0.21983398497104645,0.747766481745815,0.7679074010539195
11,1e-05,0.2,15,0.21570508182048798,0.7713856837473968,0.7888007975005049
12,1e-05,0.2,17,0.2137753963470459,0.7829691713499742,0.8100870933376224
13,1e-05,0.2,18,0.21284765005111694,0.790020324582354,0.8157102472915272
14,1e-05,0.2,19,0.21237890422344208,0.8162631608301334,0.8522242267134099
15,1e-05,0.2,20,0.21220508217811584,0.8162940148229068,0.8485913402996794
16,1e-05,0.2,21,0.2097773402929306,0.8261720146412772,0.861369510408523
17,1e-05,0.2,22,0.2089550793170929,0.8450395277447048,0.8727171889916736
18,1e-05,0.2,25,0.2088007777929306,0.8605739365018799,0.8877287820293036
19,1e-05,0.5,0,1.2744375467300415,0.30855624344305305,0.304696029845915
20,1e-05,0.5,1,0.837515652179718,0.4378604401838871,0.45156558711196326
21,1e-05,0.5,2,0.49784374237060547,0.4762320644235869,0.5011273657350586
22,1e-05,0.5,3,0.3951679766178131,0.49768097163903063,0.5178966274708567
23,1e-05,0.5,4,0.34407421946525574,0.5140149525177652,0.5320447930707257
24,1e-05,0.5,5,0.32942187786102295,0.5258620922669061,0.5348092687257967
25,1e-05,0.5,8,0.307679682970047,0.5308803004462875,0.5303448885243064
26,1e-05,0.5,9,0.30810546875,0.5453892231731768,0.5453005979412642
27,1e-05,0.5,10,0.3028320372104645,0.5584365660450091,0.5454920579951165
28,1e-05,0.5,15,0.29493749141693115,0.6032537622377369,0.6168743328947991
29,1e-05,0.5,21,0.28672656416893005,0.6375671554230495,0.6483355776837125
30,1e-05,0.8,0,1.336687445640564,0.29482002688831166,0.29108083734056356
31,1e-05,0.8,1,0.8947343826293945,0.4425611124671328,0.4502585197994097
32,1e-05,0.8,2,0.4459453225135803,0.5805182524200114,0.5603229336061746
33,1e-05,0.8,4,0.28694531321525574,0.6411319032894645,0.6256859309427224
34,1e-05,0.8,5,0.2652851641178131,0.6789232972714649,0.6421218333979477
35,1e-05,0.8,6,0.25205859541893005,0.6846910747671312,0.676713259045841
36,1e-05,0.8,11,0.2272968739271164,0.6880564142906441,0.7067303471331893
37,1e-05,0.8,13,0.22048242390155792,0.7621172348000608,0.7954102500559965
38,1e-05,0.8,18,0.2108183652162552,0.8166967439267314,0.8487711945455969
39,1e-05,0.8,26,0.20628906786441803,0.860161350591195,0.8714055811631107
40,5e-05,0.2,0,1.2771250009536743,0.3042134658006481,0.30009605980984816
41,5e-05,0.2,1,0.5029257535934448,0.5222937924866213,0.4917727059716295
42,5e-05,0.2,2,0.279722660779953,0.7201806583845893,0.7481664112576386
43,5e-05,0.2,3,0.25254297256469727,0.8172167223356006,0.8519697484950848
44,5e-05,0.2,8,0.21033789217472076,0.8375276538341081,0.8843697196873568
45,5e-05,0.2,11,0.20374023914337158,0.8447092651622948,0.8790511942391706
46,5e-05,0.2,14,0.19582226872444153,0.8852663957283137,0.9117402134084971
47,5e-05,0.2,15,0.1988554745912552,0.9195442847405038,0.9164695328467662
48,5e-05,0.2,27,0.18846093118190765,0.9312623458377653,0.9204035287947457
49,5e-05,0.5,0,1.3279999494552612,0.2945489985160532,0.28963980602311334
50,5e-05,0.5,1,0.5757421851158142,0.42786797949661637,0.4444405421927109
51,5e-05,0.5,2,0.3520781397819519,0.46686433307110725,0.4737868555591442
52,5e-05,0.5,3,0.32109764218330383,0.48294690703270354,0.4893820765752066
53,5e-05,0.5,5,0.30565235018730164,0.5016998677065765,0.5117277811626797
54,5e-05,0.5,8,0.28623828291893005,0.5285851643723033,0.5510772646284726
55,5e-05,0.5,12,0.2744961082935333,0.5321127259274653,0.5409110570574562
56,5e-05,0.5,13,0.2781640589237213,0.5969770382091066,0.5941185639596492
57,5e-05,0.5,20,0.26719531416893005,0.6172297864000441,0.6179066967673028
58,5e-05,0.5,22,0.27025389671325684,0.620963520110674,0.6367865225425197
59,5e-05,0.8,0,1.2745312452316284,0.2996293460879612,0.2945381638510519
60,5e-05,0.8,1,0.5090937614440918,0.6756991879061189,0.6689950114749673
61,5e-05,0.8,3,0.2521113157272339,0.6963838550326342,0.7086663968329643
62,5e-05,0.8,4,0.23689258098602295,0.7075755666647227,0.7558884478989176
63,5e-05,0.8,5,0.22639843821525574,0.7334215892591447,0.7852159248859962
64,5e-05,0.8,6,0.21788671612739563,0.7973728337749972,0.857132372233785
65,5e-05,0.8,8,0.21321484446525574,0.8211867465607687,0.8594714981679925
66,5e-05,0.8,11,0.2069062441587448,0.8726100516783544,0.8968303136232176
67,5e-05,0.8,12,0.19806836545467377,0.8753020743884184,0.8921766910369524
68,5e-05,0.8,16,0.20213280618190765,0.9323708689403091,0.9359605326755402
69,5e-05,0.8,28,0.18916600942611694,0.9434316866390323,0.9336923172605245
70,8e-05,0.2,0,1.2582499980926514,0.3110574909405578,0.3073252027146897
71,8e-05,0.2,1,0.4225117266178131,0.7110342652565269,0.7081066330114362
72,8e-05,0.2,4,0.2295195311307907,0.7350931046726441,0.772541662900504
73,8e-05,0.2,6,0.21402539312839508,0.8605079422678514,0.9012544790442322
74,8e-05,0.2,9,0.20744140446186066,0.8700606185387821,0.8998359506762289
75,8e-05,0.2,13,0.2034023404121399,0.9526049632260898,0.9421792579750286
76,8e-05,0.5,0,1.312343716621399,0.2911418414518249,0.2863375366115285
77,8e-05,0.5,1,0.4818632900714874,0.48960813637690503,0.5160076815604325
78,8e-05,0.5,2,0.33497852087020874,0.528258392829504,0.5594619623726834
79,8e-05,0.5,5,0.29670703411102295,0.5582153064197204,0.5979229933581234
80,8e-05,0.5,8,0.2859570384025574,0.6297743550138601,0.6414222683327397
81,8e-05,0.5,12,0.27452734112739563,0.7228178725458074,0.7442763625538342
82,8e-05,0.8,0,1.313156247138977,0.3020892955460016,0.2976579464460027
83,8e-05,0.8,1,0.45878124237060547,0.7559105548340397,0.7960575925185829
84,8e-05,0.8,3,0.24541015923023224,0.797311533235703,0.8448751032042532
85,8e-05,0.8,6,0.21271485090255737,0.8679238636979656,0.8928732608627092
86,8e-05,0.8,11,0.1985781192779541,0.9159078084033367,0.9131138305712629
87,8e-05,0.8,16,0.19581054151058197,0.9548127888303364,0.9451866790088964
88,0.0001,0.2,0,1.3551875352859497,0.29019868670104987,0.28493811641827704
89,0.0001,0.2,1,0.41953516006469727,0.5992784895350468,0.619596361416523
90,0.0001,0.2,2,0.2607968747615814,0.6922959530036026,0.7223438250882618
91,0.0001,0.2,5,0.21876171231269836,0.8338590142838808,0.8890638022897346
92,0.0001,0.2,6,0.21239258348941803,0.8443692330631922,0.8818856597902678
93,0.0001,0.2,8,0.20473632216453552,0.8703051637986312,0.8960053829618275
