,Learning Rate,Epoch,Train Loss,Val mIoU,Test mIoU
0,0.002,0,1.3296250104904175,0.25031259708847015,0.25009692850749227
1,0.002,1,0.03356463462114334,0.5585652716880349,0.5640312780585973
2,0.002,2,0.011301422491669655,0.5842917828772017,0.5737573035699869
3,0.002,3,0.009090614505112171,0.7031100535569748,0.6942098282820488
4,0.002,5,0.0076911356300115585,0.7121315476320755,0.6677407557211898
5,0.002,8,0.007318607531487942,0.7328041472268904,0.6804731843626965
6,0.002,15,0.0068587190471589565,0.7369916738815375,0.6913816307967293
7,0.002,19,0.006490020547062159,0.7452964134568674,0.713084574216385
8,0.002,27,0.0055295065976679325,0.7460138076498648,0.7231061941657027
9,0.002,32,0.005093494430184364,0.7555107347540324,0.7077622759931155
10,0.002,38,0.004599899519234896,0.7594507185085724,0.723486323512297
11,0.005,0,1.339593768119812,0.2557550235032224,0.25563403981361854
12,0.005,1,0.028006836771965027,0.5815784222713997,0.5731293015567438
13,0.005,2,0.014145050197839737,0.6497372962936365,0.6325128134619084
14,0.005,3,0.01222177129238844,0.6627961081705671,0.6245339752071422
15,0.005,4,0.01157308928668499,0.6651793694377248,0.6259417973118055
16,0.005,5,0.010586334392428398,0.6686335612015143,0.6281520990948998
17,0.005,6,0.009711944498121738,0.6700555756071541,0.6379435730412605
18,0.005,8,0.00945146195590496,0.6839053148530736,0.6499128404999757
19,0.005,9,0.009070525877177715,0.6882497678037133,0.6477221582605958
20,0.005,13,0.009176155552268028,0.6956462806842553,0.6558064808167123
21,0.005,15,0.0087911831215024,0.7023141670763671,0.6810555066647604
22,0.005,23,0.00820968672633171,0.7029236251285201,0.6664753937344762
23,0.005,24,0.008143371902406216,0.7168692272474393,0.681519927096588
24,0.005,32,0.007012008689343929,0.7193906355378983,0.6715747376041372
25,0.005,37,0.006030166521668434,0.7222148684304637,0.6799070032312174
26,0.005,39,0.005756503902375698,0.7363358988006155,0.6856292572763711
27,0.008,0,1.3565624952316284,0.23672784513389014,0.2365787087304815
28,0.008,1,0.03276606649160385,0.607198010223472,0.5927354173670646
29,0.008,2,0.02137240581214428,0.6363002534425489,0.6119932080003547
30,0.008,5,0.01311663817614317,0.6447026180052362,0.6195866855581066
31,0.008,6,0.012156708166003227,0.6543769118805836,0.627256803531344
32,0.008,8,0.012573775835335255,0.6585615731530281,0.6265106396801532
33,0.008,12,0.012073200196027756,0.6616246114997373,0.6299738053053948
